Player Name,Last Online,Hours Played,Deaths,Pillagers Killed
RedWraith,2019-12-03 20:27:44,351.26,39,170
Eysp,2019-12-03 15:54:05,321.77,60,12537
Thanyay,2019-06-03 21:41:20,3.63,33,0
GrubbtheShrub,2019-10-28 22:33:37,19.92,29,1
SuperSephyDragon,2019-07-01 10:16:16,1.87,0,0
catzace00,2019-10-04 21:53:28,150.68,55,0
Blubberguster,2019-10-23 23:21:51,16.21,20,21
Rieke137,2019-11-15 20:37:17,115.98,33,15
Lorimer314,2019-11-29 23:53:09,282.67,85,466
grubbalicious,2019-11-24 16:23:32,52.06,79,1
BjornIronsides,2019-08-16 15:08:13,29.54,7,0
Heitoki,2019-11-19 11:45:36,12.39,18,1
PotatoTrapdoor,2019-06-17 09:10:30,1.0,1,0
Joan_of_Utah,2019-11-20 20:40:34,67.49,16,63
Lok_Of_Elisha,2019-09-30 00:18:11,6.29,3,0
LosSept,2019-07-07 13:09:25,0.43,1,0
BlockFsh,2019-10-14 15:47:02,4.93,10,1
